,0,1,2,3,4,5
169,90.0,84.0,1.995,1.812,1.995,0.4
170,90.0,84.0,1.995,1.812,1.995,0.4
171,90.0,84.0,1.995,1.812,1.995,0.4
172,90.0,83.0,1.995,1.812,1.995,0.4
173,90.0,81.0,1.995,1.812,1.995,0.4
174,90.0,81.0,1.995,1.812,1.995,0.4
175,90.0,81.0,1.995,1.812,1.995,0.4
176,90.0,80.0,1.995,1.812,1.995,0.4
177,90.0,78.0,1.995,1.812,1.995,0.4
178,90.0,76.0,1.995,1.812,1.995,0.4
179,90.0,74.0,1.995,1.812,1.995,0.4
180,90.0,75.0,1.995,1.812,1.995,0.4
181,90.0,74.0,1.995,1.812,1.995,0.4
182,90.0,73.0,1.995,1.812,1.995,0.4
183,90.0,72.0,1.995,1.812,1.995,0.4
184,90.0,71.0,1.995,1.812,1.995,0.4
185,90.0,72.0,1.995,1.812,1.995,0.4
186,90.0,70.0,1.995,1.812,1.995,0.4
187,90.0,69.0,1.995,1.812,1.995,0.4
188,90.0,69.0,1.995,1.812,1.995,0.4
189,90.0,68.0,1.995,1.812,1.995,0.4
190,90.0,68.0,1.995,1.812,1.995,0.4
191,90.0,67.0,1.995,1.812,1.995,0.4
192,90.0,66.0,1.995,1.812,1.995,0.4
193,90.0,66.0,1.995,1.812,1.995,0.4
194,90.0,66.0,1.995,1.812,1.995,0.4
195,90.0,66.0,1.995,1.812,1.995,0.4
196,90.0,66.0,1.995,1.812,1.995,0.4
197,90.0,66.0,1.995,1.812,1.995,0.4
198,90.0,66.0,1.995,1.812,1.995,0.4
199,90.0,66.0,1.995,1.812,1.995,0.4
200,90.0,66.0,1.995,1.812,1.995,0.4
201,90.0,65.0,1.995,1.812,1.995,0.4
202,90.0,65.0,1.995,1.812,1.995,0.4
203,90.0,66.0,1.995,1.812,1.995,0.4
204,90.0,66.0,1.995,1.812,1.995,0.4
